                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.27037,                0.45161,                      1,                 1.0412,               0.070203,              0.0033108,              0.0033108
                      1,                 0.2485,                0.50403,                      1,                0.98728,               0.039874,              0.0063153,              0.0063153
                      2,                0.22282,                0.42742,                      1,                 1.0402,              0.0092149,              0.0089897,              0.0089897
                      3,                0.19991,                0.50403,                      1,                0.98451,               0.008515,               0.008515,               0.008515
                      4,                0.14811,                 0.5121,                      1,                 0.9664,               0.008515,               0.008515,               0.008515
                      5,                0.09458,                0.47581,                      1,                0.99963,                0.00802,                0.00802,                0.00802
                      6,                0.06672,                 0.5121,                      1,                0.97786,               0.007525,               0.007525,               0.007525
                      7,                0.04338,                0.45161,                      1,                 1.0155,                0.00703,                0.00703,                0.00703
                      8,                0.04101,                0.48387,                      1,                 1.0007,               0.006535,               0.006535,               0.006535
                      9,                0.02954,                 0.4879,                      1,                0.98631,                0.00604,                0.00604,                0.00604
                     10,                0.01753,                0.50806,                      1,                 0.9696,               0.005545,               0.005545,               0.005545
                     11,                0.01081,                0.50806,                      1,                0.98434,                0.00505,                0.00505,                0.00505
                     12,                0.00795,                0.50403,                      1,                 0.9809,               0.004555,               0.004555,               0.004555
                     13,                0.00545,                0.46371,                      1,                 1.0142,                0.00406,                0.00406,                0.00406
                     14,                0.00358,                 0.5121,                      1,                0.97973,               0.003565,               0.003565,               0.003565
                     15,                0.00491,                0.50403,                      1,                0.98157,                0.00307,                0.00307,                0.00307
                     16,                0.00309,                0.50806,                      1,                0.98789,               0.002575,               0.002575,               0.002575
                     17,                0.00114,                0.48387,                      1,                0.98841,                0.00208,                0.00208,                0.00208
                     18,                 0.0013,                0.49194,                      1,                0.98238,               0.001585,               0.001585,               0.001585
                     19,                0.00098,                    0.5,                      1,                0.97934,                0.00109,                0.00109,                0.00109
